note_id,product_model,serial_number,date,symptom_text,fix_text,tag,_true_theme_for_validation_only
RET-00049,Model-B200,SN-B20-00049,2026-06-05,Unit does not power on at all.,"Replaced battery, unit powers on normally now.",,No Power
RET-00050,Model-C300,SN-C30-00050,2025-12-24,Display is completely blank but unit powers on.,Replaced display panel assembly.,,Display Fault
RET-00051,Model-A100,SN-A10-00051,2026-04-16,Outer casing has visible dents and scratches. Reach out at priya.n@mail.com for follow-up.,Replaced latch mechanism.,,Physical Damage
RET-00052,Model-C300,SN-C30-00052,2026-04-02,Display is completely blank but unit powers on.,Reseated display ribbon cable.,display_fault,Display Fault
RET-00053,Model-C300,SN-C30-00053,2026-01-03,Outer casing has visible dents and scratches.,Replaced broken hinge assembly.,,Physical Damage
RET-00054,Model-B200,SN-B20-00054,2025-12-04,"Device completely dead, no response to power button.","Replaced battery, unit powers on normally now.",no_power,No Power
RET-00055,Model-B200,SN-B20-00055,2026-04-09,Battery drains fully within 2 hours of light use.,Replaced charging circuit board.,battery_drain,Battery Drain
RET-00056,Model-A100,SN-A10-00056,2026-02-03,Device cannot detect any nearby WiFi networks.,Reseated antenna connector.,,Connectivity Issue
RET-00057,Model-A100,SN-A10-00057,2026-03-21,Unit overheats and shuts down after 20 minutes of operation. Reach out at priya.n@mail.com for follow-up.,Replaced faulty cooling fan.,overheating,Overheating
RET-00058,Model-B200,SN-B20-00058,2025-09-25,Device freezes randomly during normal operation.,Factory reset resolved the crashing issue.,software_crash,Software Crash
RET-00059,Model-A100,SN-A10-00059,2026-08-01,App crashes repeatedly on startup.,Factory reset resolved the crashing issue.,,Software Crash
RET-00060,Model-B200,SN-B20-00060,2025-08-27,"Housing cracked near hinge, likely from a drop.",Replaced latch mechanism.,,Physical Damage
RET-00061,Model-C300,SN-C30-00061,2026-02-15,Customer reports random restarts several times a day.,Rolled back faulty software update.,software_crash,Software Crash
RET-00062,Model-B200,SN-B20-00062,2025-08-20,App crashes repeatedly on startup.,Rolled back faulty software update.,software_crash,Software Crash
RET-00063,Model-A100,SN-A10-00063,2026-03-08,Bluetooth pairing fails every time.,Updated network driver firmware.,,Connectivity Issue
RET-00064,Model-B200,SN-B20-00064,2025-12-18,High pitched whining noise during operation.,Replaced coil on power board causing whine.,unusual_noise,Unusual Noise
RET-00065,Model-C300,SN-C30-00065,2025-08-29,Screen shows vertical lines across display.,Replaced touch digitizer.,,Display Fault
RET-00066,Model-B200,SN-B20-00066,2026-06-08,Customer Priya Nair reported: Unit overheats and shuts down after 20 minutes of operation.,Replaced thermal paste on main processor.,,Overheating
RET-00067,Model-C300,SN-C30-00067,2025-12-11,Thermal shutdown triggered repeatedly under light load.,Replaced thermal paste on main processor.,overheating,Overheating
RET-00068,Model-B200,SN-B20-00068,2026-05-18,Battery drains fully within 2 hours of light use.,"Replaced battery cell, capacity restored.",battery_drain,Battery Drain
RET-00069,Model-C300,SN-C30-00069,2026-07-07,Clicking sound heard during startup.,Replaced noisy fan assembly.,,Unusual Noise
RET-00070,Model-C300,SN-C30-00070,2025-12-18,"Customer reports unit was dropped, casing damaged.",Replaced latch mechanism.,physical_damage,Physical Damage
RET-00071,Model-B200,SN-B20-00071,2026-03-22,Clicking sound heard during startup.,Replaced coil on power board causing whine.,,Unusual Noise
RET-00072,Model-B200,SN-B20-00072,2026-03-14,Customer reports battery does not hold charge overnight.,"Replaced battery cell, capacity restored.",battery_drain,Battery Drain
RET-00073,Model-B200,SN-B20-00073,2025-10-29,"Housing cracked near hinge, likely from a drop.",Replaced outer housing.,physical_damage,Physical Damage
RET-00074,Model-A100,SN-A10-00074,2026-06-30,Customer reports battery does not hold charge overnight.,Updated firmware to fix power management bug.,battery_drain,Battery Drain
RET-00075,Model-A100,SN-A10-00075,2025-12-29,Customer reports battery does not hold charge overnight.,Replaced charging circuit board.,battery_drain,Battery Drain
RET-00076,Model-C300,SN-C30-00076,2025-11-30,Device freezes randomly during normal operation.,Factory reset resolved the crashing issue.,software_crash,Software Crash
RET-00077,Model-B200,SN-B20-00077,2025-11-25,Device loses charge rapidly even in standby mode.,Updated firmware to fix power management bug.,battery_drain,Battery Drain
RET-00078,Model-B200,SN-B20-00078,2026-05-09,Customer reports random restarts several times a day.,Reflashed firmware to latest stable version.,,Software Crash
RET-00079,Model-B200,SN-B20-00079,2026-06-20,Customer reports unit won't turn on even after charging overnight.,"Replaced battery, unit powers on normally now.",no_power,No Power
RET-00080,Model-B200,SN-B20-00080,2026-02-15,App crashes repeatedly on startup.,Factory reset resolved the crashing issue.,,Software Crash
RET-00081,Model-B200,SN-B20-00081,2025-12-29,Customer reports intermittent loss of network signal.,Replaced WiFi/Bluetooth module.,,Connectivity Issue
RET-00082,Model-A100,SN-A10-00082,2026-04-09,"Customer Priya Nair reported: Housing cracked near hinge, likely from a drop.",Replaced latch mechanism.,physical_damage,Physical Damage
RET-00083,Model-A100,SN-A10-00083,2026-04-01,Display is completely blank but unit powers on.,Replaced display driver IC on board.,,Display Fault
RET-00084,Model-A100,SN-A10-00084,2025-08-08,Rattling noise when device is moved.,Tightened loose internal bracket causing rattle.,,Unusual Noise
RET-00085,Model-C300,SN-C30-00085,2026-05-10,Customer reports burning smell and excessive heat near vents.,Cleaned dust from heat sink and fan assembly.,,Overheating
RET-00086,Model-C300,SN-C30-00086,2026-01-10,App crashes repeatedly on startup.,Reflashed firmware to latest stable version.,,Software Crash
RET-00087,Model-A100,SN-A10-00087,2025-08-10,Customer reports burning smell and excessive heat near vents.,Cleaned dust from heat sink and fan assembly.,,Overheating
RET-00088,Model-A100,SN-A10-00088,2025-11-02,"Customer reports unit was dropped, casing damaged.",Replaced latch mechanism.,,Physical Damage
RET-00089,Model-B200,SN-B20-00089,2025-12-29,Customer reports unit won't turn on even after charging overnight.,Replaced power supply board.,no_power,No Power
RET-00090,Model-B200,SN-B20-00090,2025-12-22,Display is completely blank but unit powers on.,Replaced touch digitizer.,,Display Fault
RET-00091,Model-B200,SN-B20-00091,2025-12-21,Rattling noise when device is moved.,Tightened loose internal bracket causing rattle.,,Unusual Noise
RET-00092,Model-A100,SN-A10-00092,2025-12-14,Bluetooth pairing fails every time.,Updated network driver firmware.,,Connectivity Issue
RET-00093,Model-B200,SN-B20-00093,2025-11-21,"No power, LED does not light up when plugged in.","Replaced battery, unit powers on normally now.",no_power,No Power
RET-00094,Model-B200,SN-B20-00094,2026-03-11,"Customer Rahul Sharma reported: Broken latch, cover does not close properly.",Replaced latch mechanism.,physical_damage,Physical Damage
RET-00095,Model-B200,SN-B20-00095,2025-10-21,Clicking sound heard during startup.,Replaced coil on power board causing whine.,,Unusual Noise
RET-00096,Model-B200,SN-B20-00096,2026-06-15,"No power, LED does not light up when plugged in.","Replaced battery, unit powers on normally now.",no_power,No Power
RET-00097,Model-C300,SN-C30-00097,2025-12-02,"Broken latch, cover does not close properly.",Replaced broken hinge assembly.,,Physical Damage
RET-00098,Model-B200,SN-B20-00098,2026-03-16,Rattling noise when device is moved.,Tightened loose internal bracket causing rattle.,,Unusual Noise
RET-00099,Model-B200,SN-B20-00099,2025-11-27,Unit overheats and shuts down after 20 minutes of operation.,Replaced thermal paste on main processor.,overheating,Overheating
RET-00100,Model-C300,SN-C30-00100,2026-06-11,Bluetooth pairing fails every time.,Updated network driver firmware.,connectivity_issue,Connectivity Issue
RET-00101,Model-A100,SN-A10-00101,2026-03-14,Screen shows vertical lines across display.,Replaced display panel assembly.,,Display Fault
RET-00102,Model-A100,SN-A10-00102,2026-06-10,Loud grinding noise coming from internal fan.,Replaced coil on power board causing whine.,unusual_noise,Unusual Noise
RET-00103,Model-B200,SN-B20-00103,2026-07-06,Customer Ananya Iyer reported: Touchscreen not responding in bottom half of screen.,Replaced display driver IC on board.,display_fault,Display Fault
RET-00104,Model-C300,SN-C30-00104,2026-05-16,"Customer Rahul Sharma reported: Device completely dead, no response to power button.","Found loose power connector, reseated and resolved.",,No Power
RET-00105,Model-B200,SN-B20-00105,2025-11-07,Customer reports battery does not hold charge overnight.,Updated firmware to fix power management bug.,battery_drain,Battery Drain
RET-00106,Model-C300,SN-C30-00106,2026-02-26,Device freezes randomly during normal operation.,Rolled back faulty software update.,software_crash,Software Crash
RET-00107,Model-A100,SN-A10-00107,2026-03-19,Battery drains fully within 2 hours of light use.,"Replaced battery cell, capacity restored.",,Battery Drain
RET-00108,Model-A100,SN-A10-00108,2026-01-04,Customer reports unit won't turn on even after charging overnight.,Replaced fuse on main board.,no_power,No Power
RET-00109,Model-C300,SN-C30-00109,2025-08-07,Device cannot detect any nearby WiFi networks.,Replaced WiFi/Bluetooth module.,,Connectivity Issue
RET-00110,Model-C300,SN-C30-00110,2025-12-27,Battery drains fully within 2 hours of light use.,Replaced charging circuit board.,battery_drain,Battery Drain
RET-00111,Model-B200,SN-B20-00111,2026-06-26,Screen shows vertical lines across display.,Reseated display ribbon cable.,,Display Fault
RET-00112,Model-C300,SN-C30-00112,2025-12-20,Unit repeatedly disconnects from WiFi network.,Updated network driver firmware.,,Connectivity Issue
RET-00113,Model-B200,SN-B20-00113,2025-12-20,Loud grinding noise coming from internal fan. Contact: +91 90000 11122.,Replaced coil on power board causing whine.,unusual_noise,Unusual Noise
RET-00114,Model-B200,SN-B20-00114,2026-06-16,"Device completely dead, no response to power button.",Replaced power supply board.,,No Power
RET-00115,Model-B200,SN-B20-00115,2026-05-04,Customer reports unit won't turn on even after charging overnight.,Replaced fuse on main board.,no_power,No Power
RET-00116,Model-C300,SN-C30-00116,2025-09-10,Customer reports random restarts several times a day.,Reflashed firmware to latest stable version.,software_crash,Software Crash
RET-00117,Model-B200,SN-B20-00117,2026-07-24,Thermal shutdown triggered repeatedly under light load.,Replaced faulty cooling fan.,overheating,Overheating
RET-00118,Model-C300,SN-C30-00118,2025-12-12,Unit does not power on at all.,"Found loose power connector, reseated and resolved.",no_power,No Power
RET-00119,Model-B200,SN-B20-00119,2025-08-30,"Dead on arrival, no boot, no lights.",Replaced fuse on main board.,no_power,No Power
RET-00120,Model-B200,SN-B20-00120,2025-09-15,High pitched whining noise during operation.,Replaced noisy fan assembly.,,Unusual Noise
RET-00121,Model-B200,SN-B20-00121,2025-08-09,High pitched whining noise during operation. Reach out at vikram.rao99@example.in for follow-up.,Replaced noisy fan assembly.,,Unusual Noise
RET-00122,Model-C300,SN-C30-00122,2026-02-23,"Cracked display panel, screen partially visible.",Replaced display panel assembly.,display_fault,Display Fault
RET-00123,Model-A100,SN-A10-00123,2026-06-02,Clicking sound heard during startup.,Tightened loose internal bracket causing rattle.,unusual_noise,Unusual Noise
RET-00124,Model-C300,SN-C30-00124,2026-01-01,Device cannot detect any nearby WiFi networks.,Updated network driver firmware.,,Connectivity Issue
RET-00125,Model-B200,SN-B20-00125,2025-09-29,Device loses charge rapidly even in standby mode.,"Replaced battery cell, capacity restored.",,Battery Drain
RET-00126,Model-B200,SN-B20-00126,2025-11-15,"Broken latch, cover does not close properly.",Replaced outer housing.,physical_damage,Physical Damage
RET-00127,Model-C300,SN-C30-00127,2026-05-17,High pitched whining noise during operation.,Replaced coil on power board causing whine.,unusual_noise,Unusual Noise
RET-00128,Model-C300,SN-C30-00128,2025-12-11,Unit stuck in boot loop after last update.,Reflashed firmware to latest stable version.,software_crash,Software Crash
RET-00129,Model-B200,SN-B20-00129,2026-01-03,Battery drains fully within 2 hours of light use.,Updated firmware to fix power management bug.,,Battery Drain
RET-00130,Model-B200,SN-B20-00130,2025-08-27,App crashes repeatedly on startup.,Factory reset resolved the crashing issue.,software_crash,Software Crash
RET-00131,Model-C300,SN-C30-00131,2026-06-11,"Customer reports unit was dropped, casing damaged.",Replaced outer housing.,physical_damage,Physical Damage
RET-00132,Model-C300,SN-C30-00132,2026-01-04,Display is completely blank but unit powers on.,Replaced display panel assembly.,,Display Fault
RET-00133,Model-B200,SN-B20-00133,2025-09-03,Device freezes randomly during normal operation.,Factory reset resolved the crashing issue.,,Software Crash
RET-00134,Model-B200,SN-B20-00134,2025-09-15,"Customer Priya Nair reported: Customer reports unit was dropped, casing damaged.",Replaced latch mechanism.,,Physical Damage
RET-00135,Model-B200,SN-B20-00135,2026-06-16,Customer reports battery does not hold charge overnight.,"Replaced battery cell, capacity restored.",,Battery Drain
RET-00136,Model-A100,SN-A10-00136,2026-05-08,Customer Vikram Rao reported: Rattling noise when device is moved.,Replaced noisy fan assembly.,unusual_noise,Unusual Noise
RET-00137,Model-B200,SN-B20-00137,2026-03-29,"Cracked display panel, screen partially visible.",Replaced display driver IC on board.,,Display Fault
RET-00138,Model-A100,SN-A10-00138,2026-06-22,"Cracked display panel, screen partially visible.",Replaced display driver IC on board.,display_fault,Display Fault
RET-00139,Model-C300,SN-C30-00139,2026-04-05,"Flickering screen, gets worse when device is warm.",Replaced touch digitizer.,,Display Fault
RET-00140,Model-B200,SN-B20-00140,2025-08-20,Bluetooth pairing fails every time.,Replaced WiFi/Bluetooth module.,connectivity_issue,Connectivity Issue
RET-00141,Model-C300,SN-C30-00141,2025-09-08,Device cannot detect any nearby WiFi networks.,Reseated antenna connector.,,Connectivity Issue
RET-00142,Model-A100,SN-A10-00142,2025-11-27,Device freezes randomly during normal operation.,Reflashed firmware to latest stable version.,software_crash,Software Crash
RET-00143,Model-B200,SN-B20-00143,2026-07-21,Device cannot detect any nearby WiFi networks. Reach out at vikram.rao99@example.in for follow-up.,Updated network driver firmware.,,Connectivity Issue
RET-00144,Model-C300,SN-C30-00144,2026-03-08,Clicking sound heard during startup.,Replaced coil on power board causing whine.,unusual_noise,Unusual Noise
RET-00145,Model-A100,SN-A10-00145,2025-08-19,Bluetooth pairing fails every time. Reach out at vikram.rao99@example.in for follow-up.,Reseated antenna connector.,connectivity_issue,Connectivity Issue
RET-00146,Model-B200,SN-B20-00146,2025-10-09,"No power, LED does not light up when plugged in. Contact: 9845012345.","Replaced battery, unit powers on normally now.",,No Power
RET-00147,Model-A100,SN-A10-00147,2026-05-26,Battery percentage drops from 100 to 0 in minutes.,Replaced charging circuit board.,battery_drain,Battery Drain
RET-00148,Model-A100,SN-A10-00148,2025-11-28,Customer reports intermittent loss of network signal.,Reseated antenna connector.,,Connectivity Issue
RET-00149,Model-B200,SN-B20-00149,2026-06-22,Unit overheats and shuts down after 20 minutes of operation.,"Replaced temperature sensor, false trips resolved.",,Overheating
RET-00150,Model-B200,SN-B20-00150,2026-08-01,"Fan not spinning, unit overheating quickly.",Cleaned dust from heat sink and fan assembly.,,Overheating
RET-00151,Model-C300,SN-C30-00151,2025-10-06,Device cannot detect any nearby WiFi networks.,Reseated antenna connector.,connectivity_issue,Connectivity Issue
RET-00152,Model-A100,SN-A10-00152,2026-07-20,Rattling noise when device is moved.,Replaced coil on power board causing whine.,unusual_noise,Unusual Noise
RET-00153,Model-B200,SN-B20-00153,2025-09-03,Customer Vikram Rao reported: Device cannot detect any nearby WiFi networks.,Replaced WiFi/Bluetooth module.,,Connectivity Issue
RET-00154,Model-A100,SN-A10-00154,2026-04-03,"Fan not spinning, unit overheating quickly.",Replaced thermal paste on main processor.,overheating,Overheating
RET-00155,Model-C300,SN-C30-00155,2025-10-05,App crashes repeatedly on startup.,Factory reset resolved the crashing issue.,,Software Crash
RET-00156,Model-C300,SN-C30-00156,2026-03-11,Device freezes randomly during normal operation.,Rolled back faulty software update.,software_crash,Software Crash
RET-00157,Model-A100,SN-A10-00157,2026-06-12,"Broken latch, cover does not close properly.",Replaced latch mechanism.,,Physical Damage
RET-00158,Model-A100,SN-A10-00158,2026-03-13,App crashes repeatedly on startup.,Reflashed firmware to latest stable version.,,Software Crash
RET-00159,Model-A100,SN-A10-00159,2025-09-07,Battery drains fully within 2 hours of light use.,"Replaced battery cell, capacity restored.",battery_drain,Battery Drain
RET-00160,Model-A100,SN-A10-00160,2026-06-27,Device loses charge rapidly even in standby mode.,Replaced charging circuit board.,,Battery Drain
RET-00161,Model-B200,SN-B20-00161,2025-09-30,Screen shows vertical lines across display.,Replaced touch digitizer.,display_fault,Display Fault
RET-00162,Model-A100,SN-A10-00162,2026-05-04,Unit repeatedly disconnects from WiFi network.,Reseated antenna connector.,connectivity_issue,Connectivity Issue
RET-00163,Model-B200,SN-B20-00163,2025-10-04,Battery percentage drops from 100 to 0 in minutes.,"Replaced battery cell, capacity restored.",battery_drain,Battery Drain
RET-00164,Model-C300,SN-C30-00164,2025-11-05,Device freezes randomly during normal operation. Contact: 9845012345.,Rolled back faulty software update.,,Software Crash
RET-00165,Model-A100,SN-A10-00165,2025-11-17,Clicking sound heard during startup. Reach out at vikram.rao99@example.in for follow-up.,Replaced coil on power board causing whine.,unusual_noise,Unusual Noise
RET-00166,Model-C300,SN-C30-00166,2026-07-01,Customer reports unit won't turn on even after charging overnight.,Replaced fuse on main board.,no_power,No Power
RET-00167,Model-C300,SN-C30-00167,2026-06-25,Loud grinding noise coming from internal fan.,Tightened loose internal bracket causing rattle.,unusual_noise,Unusual Noise
RET-00168,Model-B200,SN-B20-00168,2026-01-18,"Broken latch, cover does not close properly.",Replaced broken hinge assembly.,physical_damage,Physical Damage
RET-00169,Model-C300,SN-C30-00169,2025-08-31,"Fan not spinning, unit overheating quickly.",Replaced thermal paste on main processor.,,Overheating
RET-00170,Model-B200,SN-B20-00170,2025-12-12,"Customer reports unit was dropped, casing damaged.",Replaced broken hinge assembly.,physical_damage,Physical Damage
RET-00171,Model-B200,SN-B20-00171,2026-01-22,Bluetooth pairing fails every time.,Reseated antenna connector.,connectivity_issue,Connectivity Issue
RET-00172,Model-A100,SN-A10-00172,2025-12-23,Device gets very hot to touch during normal use.,Replaced faulty cooling fan.,,Overheating
RET-00173,Model-C300,SN-C30-00173,2025-08-23,"Housing cracked near hinge, likely from a drop.",Replaced broken hinge assembly.,,Physical Damage
RET-00174,Model-B200,SN-B20-00174,2026-03-07,"Dead on arrival, no boot, no lights.","Found loose power connector, reseated and resolved.",,No Power
RET-00175,Model-A100,SN-A10-00175,2025-08-30,"Flickering screen, gets worse when device is warm.",Reseated display ribbon cable.,display_fault,Display Fault
RET-00176,Model-C300,SN-C30-00176,2026-06-04,"Broken latch, cover does not close properly.",Replaced latch mechanism.,physical_damage,Physical Damage
RET-00177,Model-C300,SN-C30-00177,2025-09-24,"No power, LED does not light up when plugged in.",Replaced power supply board.,,No Power
RET-00178,Model-B200,SN-B20-00178,2026-02-03,"Housing cracked near hinge, likely from a drop.",Replaced outer housing.,,Physical Damage
RET-00179,Model-B200,SN-B20-00179,2026-06-23,Device gets very hot to touch during normal use.,Cleaned dust from heat sink and fan assembly.,overheating,Overheating
RET-00180,Model-B200,SN-B20-00180,2026-02-08,Clicking sound heard during startup.,Tightened loose internal bracket causing rattle.,unusual_noise,Unusual Noise
RET-00181,Model-C300,SN-C30-00181,2026-07-06,Unit overheats and shuts down after 20 minutes of operation.,Replaced thermal paste on main processor.,overheating,Overheating
RET-00182,Model-A100,SN-A10-00182,2025-12-18,Device cannot detect any nearby WiFi networks.,Updated network driver firmware.,connectivity_issue,Connectivity Issue
RET-00183,Model-A100,SN-A10-00183,2026-02-06,Thermal shutdown triggered repeatedly under light load.,Cleaned dust from heat sink and fan assembly.,,Overheating
RET-00184,Model-B200,SN-B20-00184,2026-07-09,Bluetooth pairing fails every time.,Updated network driver firmware.,connectivity_issue,Connectivity Issue
RET-00185,Model-A100,SN-A10-00185,2026-04-15,Bluetooth pairing fails every time.,Updated network driver firmware.,connectivity_issue,Connectivity Issue
RET-00186,Model-B200,SN-B20-00186,2026-05-04,App crashes repeatedly on startup.,Factory reset resolved the crashing issue.,software_crash,Software Crash
RET-00187,Model-C300,SN-C30-00187,2026-06-26,"Customer Ananya Iyer reported: Customer reports unit was dropped, casing damaged.",Replaced latch mechanism.,,Physical Damage
RET-00188,Model-B200,SN-B20-00188,2025-10-12,Customer reports random restarts several times a day.,Rolled back faulty software update.,software_crash,Software Crash
RET-00189,Model-B200,SN-B20-00189,2026-02-16,"Device completely dead, no response to power button.",Replaced fuse on main board.,,No Power
RET-00190,Model-A100,SN-A10-00190,2026-06-08,App crashes repeatedly on startup.,Factory reset resolved the crashing issue.,,Software Crash
RET-00191,Model-B200,SN-B20-00191,2026-02-09,Bluetooth pairing fails every time.,Updated network driver firmware.,connectivity_issue,Connectivity Issue
RET-00192,Model-C300,SN-C30-00192,2025-11-03,"Fan not spinning, unit overheating quickly.",Replaced thermal paste on main processor.,overheating,Overheating
RET-00193,Model-C300,SN-C30-00193,2026-04-03,Screen shows vertical lines across display.,Reseated display ribbon cable.,display_fault,Display Fault
RET-00194,Model-A100,SN-A10-00194,2026-05-03,Thermal shutdown triggered repeatedly under light load.,"Replaced temperature sensor, false trips resolved.",,Overheating
